PassengerId,Survived
892,0
893,0
894,1
895,1
896,0
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,0
905,1
906,0
907,1
908,1
909,0
910,0
911,1
912,1
913,1
914,0
915,1
916,0
917,1
918,0
919,0
920,1
921,0
922,1
923,1
924,0
925,0
926,1
927,0
928,0
929,0
930,1
931,1
932,0
933,1
934,1
935,1
936,0
937,1
938,1
939,0
940,0
941,0
942,1
943,1
944,1
945,0
946,1
947,0
948,1
949,1
950,1
951,0
952,1
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,0
962,1
963,1
964,0
965,1
966,0
967,1
968,1
969,0
970,1
971,1
972,0
973,1
974,1
975,1
976,1
977,0
978,1
979,0
980,1
981,1
982,0
983,1
984,0
985,1
986,1
987,1
988,0
989,1
990,0
991,1
992,0
993,1
994,0
995,1
996,1
997,1
998,0
999,0
1000,1
1001,1
1002,1
1003,1
1004,0
1005,1
1006,0
1007,0
1008,0
1009,0
1010,1
1011,1
1012,1
1013,0
1014,0
1015,1
1016,0
1017,0
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,0
1025,0
1026,1
1027,1
1028,0
1029,1
1030,0
1031,1
1032,0
1033,0
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,1
1042,0
1043,0
1044,1
1045,0
1046,1
1047,1
1048,0
1049,0
1050,1
1051,0
1052,1
1053,0
1054,1
1055,1
1056,1
1057,0
1058,1
1059,1
1060,0
1061,0
1062,1
1063,0
1064,1
1065,0
1066,1
1067,1
1068,1
1069,1
1070,1
1071,0
1072,1
1073,1
1074,0
1075,0
1076,0
1077,1
1078,1
1079,1
1080,0
1081,1
1082,1
1083,1
1084,1
1085,1
1086,1
1087,1
1088,1
1089,0
1090,1
1091,0
1092,1
1093,1
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
1100,0
1101,1
1102,1
1103,1
1104,1
1105,1
1106,0
1107,1
1108,1
1109,1
1110,0
1111,1
1112,1
1113,1
1114,1
1115,1
1116,0
1117,1
1118,1
1119,1
1120,1
1121,1
1122,1
1123,0
1124,1
1125,0
1126,1
1127,1
1128,1
1129,0
1130,1
1131,0
1132,0
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,0
1149,1
1150,1
1151,1
1152,1
1153,1
1154,1
1155,0
1156,1
1157,1
1158,1
1159,1
1160,0
1161,1
1162,1
1163,0
1164,0
1165,1
1166,0
1167,1
1168,1
1169,1
1170,1
1171,1
1172,0
1173,1
1174,1
1175,1
1176,0
1177,1
1178,1
1179,1
1180,0
1181,1
1182,1
1183,1
1184,0
1185,1
1186,1
1187,1
1188,1
1189,0
1190,1
1191,1
1192,1
1193,1
1194,1
1195,1
1196,1
1197,0
1198,1
1199,1
1200,1
1201,0
1202,1
1203,0
1204,1
1205,1
1206,0
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,0
1214,1
1215,1
1216,0
1217,1
1218,1
1219,1
1220,1
1221,1
1222,1
1223,1
1224,0
1225,1
1226,1
1227,1
1228,1
1229,0
1230,1
1231,0
1232,1
1233,1
1234,1
1235,0
1236,1
1237,0
1238,1
1239,1
1240,1
1241,1
1242,0
1243,1
1244,1
1245,1
1246,0
1247,1
1248,0
1249,1
1250,0
1251,0
1252,1
1253,1
1254,1
1255,1
1256,0
1257,0
1258,0
1259,0
1260,0
1261,1
1262,1
1263,0
1264,1
1265,1
1266,0
1267,0
1268,0
1269,1
1270,1
1271,1
1272,0
1273,0
1274,0
1275,0
1276,1
1277,1
1278,1
1279,1
1280,0
1281,1
1282,1
1283,0
1284,1
1285,1
1286,1
1287,0
1288,0
1289,0
1290,1
1291,0
1292,0
1293,1
1294,0
1295,1
1296,1
1297,1
1298,1
1299,1
1300,1
1301,0
1302,1
1303,0
1304,0
1305,1
1306,0
1307,1
1308,1
1309,0
